features  importance
141               user_user_activity_day_b1_resInv    0.178503
142                  user_user_activity_day_var_b6    0.178134
143              user_user_activity_rate_b1_resInv    0.177451
144                       user_app_launch_ratio_f5    0.177066
145                user_user_activity_frequency_b1    0.176820
146              user_user_activity_rate_f0_resInv    0.176773
147   user_user_activity_workday_weekend_day_ratio    0.176667
148                     user_user_activity_rate_b1    0.176023
149               user_user_activity_frequency_b11    0.175545
150                         user_video_rate_resInv    0.175099
151                user_app_launch_ratio_f3_resInv    0.174652
152             user_user_activity_ratio_b8_resInv    0.173712
153                      user_user_activity_var_b6    0.173456
154                   user_user_activity_ratio_b10    0.173387
155                      user_user_activity_var_b9    0.172168
156                    user_user_activity_ratio_f1    0.171969
157                 user_user_activity_day_var_b12    0.171158
158                 user_app_launch_rate_b0_resInv    0.170374
159  user_user_activity_workday_weekend_rate_ratio    0.169567
160                            user_app_launch_cam    0.168937
161                   user_user_activity_ratio_b11    0.168370
162                        user_author_rate_resInv    0.166856
163                     user_user_activity_rate_f0    0.165706
164                        user_app_launch_rate_b0    0.165632
165                            user_app_launch_cbm    0.165257
166           user_user_activity_weekend_frequency    0.164460
167               user_user_activity_day_f1_resInv    0.164237
168             user_user_activity_ratio_b9_resInv    0.163905
169                         user_app_launch_var_b3    0.163666
170                    user_app_launch_mean_change    0.163544
171                            user_app_launch_var    0.163342
172                                user_video_rate    0.163170
173                        user_app_launch_mod_var    0.162570
174             user_user_activity_ratio_f1_resInv    0.162251
175                           user_app_launch_bent    0.162242
176                         user_app_launch_cid_ce    0.162148
177                user_app_launch_ratio_f4_resInv    0.161929
178                      user_user_activity_cid_ce    0.161814
179                user_user_activity_frequency_f0    0.161524
180                               user_video_ratio    0.160378
181                         user_user_activity_cam    0.160255
182                     user_user_activity_var_b12    0.159806
183                              user_author_ratio    0.159360
184                    user_user_activity_ratio_b0    0.159328
185                         user_user_activity_cbm    0.158578
186                               user_author_rate    0.157508
187                    user_user_activity_ratio_f2    0.157361
188             user_user_activity_ratio_b0_resInv    0.157279
189                     user_user_activity_day_var    0.157217
190                user_app_launch_ratio_f5_resInv    0.156838
191                       user_app_launch_autocorr    0.155536
192                 user_app_launch_rate_f2_resInv    0.154983
193               user_user_activity_day_b0_resInv    0.154888
194              user_user_activity_rate_b0_resInv    0.154482
195            user_user_activity_ratio_b10_resInv    0.153584
196             user_user_activity_ratio_f2_resInv    0.152016
197                     user_user_activity_rate_b0    0.151244
198                user_user_activity_weekend_rate    0.151107
199                        user_user_activity_bent    0.150104
