                                          features  importance
151              user_user_activity_rate_f0_resInv    0.003888
152                     user_user_activity_day_b11    0.003836
153          user_video_create_register_type_ratio    0.003769
154                       user_app_launch_ratio_f5    0.003617
155                 user_app_launch_rate_f1_resInv    0.003608
156                     user_video_create_ratio_b0    0.003582
157                     user_user_activity_rate_b6    0.003576
158                user_app_launch_ratio_f5_resInv    0.003431
159                 user_app_launch_rate_f4_resInv    0.003425
160                 user_app_launch_rate_b0_resInv    0.003421
161                  user_user_activity_day_var_b6    0.003346
162                user_user_activity_frequency_f2    0.003335
163                       user_action1_page1_ratio    0.003295
164              user_user_activity_rate_b3_resInv    0.003231
165                       user_action0_page0_ratio    0.003225
166                         user_user_activity_var    0.003204
167                    user_user_activity_ratio_b7    0.003198
168                 user_app_launch_rate_b3_resInv    0.003188
169              user_video_create_ratio_b0_resInv    0.003144
170                       user_action0_page4_ratio    0.003113
171               user_video_create_rate_b3_resInv    0.003103
172                           user_app_launch_bent    0.003087
173                     user_app_launch_abs_energy    0.003001
174                       user_page3_action3_ratio    0.002993
175                 user_user_activity_mean_change    0.002976
176                              user_author_ratio    0.002866
177                       user_action2_page0_ratio    0.002850
178                       user_page3_action0_ratio    0.002738
179                         user_user_activity_max    0.002719
180             user_user_activity_ratio_f4_resInv    0.002682
181                      user_user_activity_day_f3    0.002654
182                 user_app_launch_rate_b9_resInv    0.002646
183              user_user_activity_rate_f5_resInv    0.002628
184                            user_in_author_rate    0.002627
185                user_app_launch_rate_b11_resInv    0.002604
186                      user_video_create_rate_b0    0.002565
187                      user_user_activity_var_b6    0.002546
188                       user_page1_action1_ratio    0.002527
189                user_user_activity_frequency_b2    0.002517
190                      user_user_activity_day_f2    0.002515
191                    user_user_activity_kurtosis    0.002507
192              user_user_activity_day_b11_resInv    0.002463
193                      user_video_create_rate_b3    0.002438
194               user_user_activity_day_f3_resInv    0.002380
195                       user_action3_page3_ratio    0.002302
196                       user_page2_action0_ratio    0.002296
197                    user_user_activity_ratio_b9    0.002285
198                     user_user_activity_rate_f1    0.002257
199                       user_page2_action1_ratio    0.002253
200        user_video_create_device_register_ratio    0.002230
201                        user_user_activity_rbrs    0.002210
202                 user_app_launch_rate_b2_resInv    0.002208
203                    user_user_activity_ratio_b0    0.002159
204              user_user_activity_rate_f1_resInv    0.002153
205                user_user_activity_frequency_f4    0.002147
206               user_user_activity_day_f2_resInv    0.002135
207                 user_video_create_frequency_b3    0.002117
208                user_user_activity_frequency_f0    0.002110
209                       user_action1_page0_ratio    0.002095
210                user_app_launch_rate_b10_resInv    0.002074
211                user_app_launch_ratio_b6_resInv    0.002052
212                        user_user_activity_tras    0.002050
213                      user_user_activity_var_b9    0.002036
214                    user_user_activity_rate_b10    0.002032
215           user_user_activity_weekend_frequency    0.001993
216                           user_app_launch_mean    0.001986
217                user_user_activity_frequency_b9    0.001945
218                    user_user_activity_ratio_f4    0.001902
219              user_user_activity_day_b10_resInv    0.001901
220                    user_user_activity_ratio_b8    0.001899
221                       user_app_launch_ratio_b3    0.001881
222             user_user_activity_ratio_b5_resInv    0.001875
223                user_user_activity_frequency_b3    0.001864
224                       user_action1_page2_ratio    0.001833
225                       user_action1_page3_ratio    0.001831
226                        user_user_activity_bent    0.001829
227                                   register_day    0.001823
228              user_user_activity_rate_b8_resInv    0.001773
229                user_app_launch_ratio_b0_resInv    0.001749
230                user_app_launch_ratio_b4_resInv    0.001714
231                 user_app_launch_rate_b8_resInv    0.001707
232                       user_app_launch_ratio_b8    0.001694
233               user_app_launch_ratio_b10_resInv    0.001670
234                      user_user_activity_day_b6    0.001653
235                    user_user_activity_ratio_f5    0.001651
236                      user_user_activity_day_b2    0.001648
237                      user_video_create_rate_b6    0.001636
238                      user_user_activity_day_b9    0.001616
239                     user_user_activity_var_b12    0.001598
240             user_user_activity_ratio_f0_resInv    0.001591
241                    user_user_activity_ratio_b6    0.001584
242                user_app_launch_ratio_b2_resInv    0.001566
243            user_video_create_device_type_ratio    0.001558
244              user_user_activity_rate_b6_resInv    0.001557
245             user_user_activity_ratio_f5_resInv    0.001552
246                       user_action3_page0_ratio    0.001551
247                    user_video_create_last_time    0.001514
248                       user_app_launch_ratio_f2    0.001470
249                 user_app_launch_activity_ratio    0.001462
250                 user_app_launch_rate_f5_resInv    0.001452
251                user_app_launch_ratio_b9_resInv    0.001430
252                       user_app_launch_ratio_f4    0.001429
253              user_video_create_rate_b12_resInv    0.001428
254                 user_app_launch_rate_b6_resInv    0.001422
255                        user_user_activity_mode    0.001416
256               user_user_activity_day_b5_resInv    0.001411
257                user_app_launch_ratio_b8_resInv    0.001409
258                         user_app_launch_median    0.001405
259                      user_app_launch_ratio_b11    0.001380
260              user_user_activity_rate_f4_resInv    0.001378
261               user_user_activity_day_f5_resInv    0.001357
262                user_user_activity_frequency_f5    0.001347
263                      user_user_activity_median    0.001305
264               user_user_activity_day_f4_resInv    0.001284
265               user_user_activity_frequency_b11    0.001265
266                   user_video_create_abs_energy    0.001244
267                     user_user_activity_rate_f2    0.001231
268                user_user_activity_frequency_b7    0.001218
269                user_user_activity_frequency_b5    0.001200
270                    user_user_activity_ratio_f3    0.001192
271                         user_user_activity_min    0.001186
272               user_user_activity_frequency_b10    0.001152
273                user_user_activity_frequency_b8    0.001151
274                user_user_activity_frequency_f1    0.001131
275               user_user_activity_register_time    0.001118
276              user_user_activity_rate_f3_resInv    0.001102
277             user_user_activity_ratio_b1_resInv    0.001073
278                         user_user_activity_cam    0.001072
279              user_video_create_ratio_b3_resInv    0.001069
280              user_user_activity_rate_f2_resInv    0.001043
281                    user_user_activity_ratio_b4    0.001028
282               user_user_activity_day_b3_resInv    0.001000
283                     user_user_activity_day_b10    0.000998
284                       user_app_launch_ratio_b6    0.000986
285              user_video_create_ratio_f2_resInv    0.000944
286               user_user_activity_day_b7_resInv    0.000943
287                         user_video_create_tras    0.000942
288                     user_user_activity_rate_f4    0.000931
289                user_user_activity_frequency_b6    0.000908
290                    user_video_create_ratio_b12    0.000898
291                       user_page2_action2_ratio    0.000890
292                   user_user_activity_ratio_b10    0.000882
293                user_app_launch_ratio_b1_resInv    0.000879
294            user_user_activity_ratio_b11_resInv    0.000863
295                      user_video_create_rate_f0    0.000861
296                       user_app_launch_ratio_b7    0.000858
297                  user_user_activity_day_var_b3    0.000853
298                 user_app_launch_rate_b1_resInv    0.000833
299                user_app_launch_ratio_b5_resInv    0.000832
300                       user_page4_action1_ratio    0.000806
301                    user_user_activity_ratio_b1    0.000800
302                       user_action1_page4_ratio    0.000782
303                user_user_activity_frequency_f3    0.000774
304                user_user_activity_frequency_b4    0.000771
305                       user_video_create_gap_b8    0.000765
306             user_user_activity_ratio_b0_resInv    0.000765
307             user_user_activity_ratio_b2_resInv    0.000765
308                     user_user_activity_rate_f5    0.000746
309               user_video_create_rate_f2_resInv    0.000743
310        user_video_create_register_device_ratio    0.000738
311                       user_page1_action3_ratio    0.000726
312               user_user_activity_day_b8_resInv    0.000724
313                         user_video_create_bent    0.000714
314                           user_app_launch_rbrs    0.000714
315                    user_user_activity_ratio_b5    0.000693
316               user_video_create_rate_f4_resInv    0.000680
317             user_user_activity_only_in_weekend    0.000679
318               user_app_launch_ratio_b11_resInv    0.000672
319                     user_video_create_ratio_f4    0.000638
320             user_user_activity_ratio_b9_resInv    0.000637
321                  user_user_activity_day_var_b9    0.000634
322                user_app_launch_ratio_b7_resInv    0.000627
323             user_user_activity_ratio_b7_resInv    0.000625
324             user_user_activity_ratio_b4_resInv    0.000619
325                       user_app_launch_ratio_f3    0.000615
326               user_user_activity_day_b9_resInv    0.000608
327                       user_action3_page1_ratio    0.000607
328                       user_page4_action0_ratio    0.000591
329             user_user_activity_ratio_b6_resInv    0.000591
330               user_video_create_rate_f0_resInv    0.000583
331                 user_video_create_frequency_b9    0.000583
332               user_user_activity_day_b2_resInv    0.000581
333                    user_user_activity_ratio_b2    0.000579
334                    user_app_launch_video_ratio    0.000566
335             user_user_activity_ratio_b8_resInv    0.000535
336                user_video_create_day_f4_resInv    0.000499
337                user_video_create_day_f0_resInv    0.000494
338                        user_app_launch_rate_f5    0.000490
339                 user_app_launch_rate_b4_resInv    0.000488
340                     user_video_create_ratio_f2    0.000488
341                     user_video_create_ratio_b9    0.000488
342               user_user_activity_day_b1_resInv    0.000484
343               user_video_create_rate_b6_resInv    0.000483
344               user_user_activity_day_b4_resInv    0.000478
345                      user_user_activity_day_f5    0.000469
346                          user_video_create_var    0.000460
347                          user_video_create_gap    0.000456
348                       user_page2_action3_ratio    0.000414
349                      user_user_activity_day_b5    0.000414
350                         user_video_create_rbrs    0.000411
351                      user_user_activity_day_f4    0.000405
352                        user_user_activity_mean    0.000403
353                          user_video_create_min    0.000402
354                       user_video_create_gap_b5    0.000400
355                     user_user_activity_rate_f3    0.000383
356             user_video_create_ratio_b12_resInv    0.000370
357              user_video_create_ratio_b9_resInv    0.000364
358            user_user_activity_ratio_b10_resInv    0.000346
359                    user_user_activity_ratio_b3    0.000345
360                         user_video_create_prda    0.000337
361                        user_user_activity_prda    0.000332
362                     user_video_create_ratio_b3    0.000330
363                        user_app_launch_rate_f2    0.000327
364                user_video_create_day_b9_resInv    0.000325
365                         user_video_create_mode    0.000317
366                user_video_create_day_b6_resInv    0.000316
367                       user_video_create_day_b9    0.000315
368               user_user_activity_day_b0_resInv    0.000295
369                          user_video_create_cam    0.000288
370                         user_video_create_lsbm    0.000287
371                 user_video_create_frequency_f0    0.000284
372              user_video_create_ratio_b6_resInv    0.000279
373                     user_video_create_ratio_b6    0.000274
374                      user_video_create_day_var    0.000269
375              user_video_create_ratio_f4_resInv    0.000257
376                      user_user_activity_day_f1    0.000236
377                       user_video_create_cid_ce    0.000231
378                       user_action3_page4_ratio    0.000225
379                       user_page4_action3_ratio    0.000224
380                   user_video_create_first_time    0.000221
381                       user_video_create_var_b8    0.000213
382                     user_app_launch_first_time    0.000204
383              user_video_create_ratio_f0_resInv    0.000195
384                      user_video_create_day_b12    0.000195
385                user_video_create_frequency_b12    0.000191
386                      user_video_create_rate_b9    0.000188
387                user_app_launch_only_in_weekend    0.000188
388                 user_video_create_frequency_b6    0.000186
389                     user_video_create_rate_b12    0.000182
390                      user_video_create_var_b11    0.000176
391                       user_app_launch_ratio_b0    0.000175
392               user_video_create_day_b12_resInv    0.000173
393                       user_app_launch_ratio_b1    0.000166
394                      user_video_create_gap_b11    0.000158
395                  user_user_activity_first_time    0.000154
396                 user_video_create_frequency_f4    0.000143
397               user_video_create_rate_b9_resInv    0.000134
398                user_video_create_day_f2_resInv    0.000115
399                      user_video_create_rate_f4    0.000112
400                       user_video_create_var_b5    0.000090
401                user_video_create_register_time    0.000086
402               user_video_create_rate_b0_resInv    0.000082
403                       user_video_create_median    0.000074
404                       user_action3_page2_ratio    0.000073
405                         user_video_create_lsam    0.000069
406                 user_video_create_frequency_f2    0.000064
407                         user_video_create_mean    0.000056
408                       user_page0_action5_ratio    0.000056
409                      user_video_create_rate_f2    0.000046
410                user_video_create_day_b3_resInv    0.000036
411                          user_video_create_cbm    0.000033
412                  user_video_create_day_var_b11    0.000031
413                   user_user_activity_last_time    0.000023
414                          user_video_create_max    0.000018
415                       user_page4_action2_ratio    0.000014
416                       user_action2_page4_ratio    0.000012
417                       user_video_create_day_f4    0.000000
418                   user_video_create_day_var_b8    0.000000
419                       user_video_create_day_b0    0.000000
420                       user_video_create_day_b6    0.000000
421                       user_video_create_day_b3    0.000000
422                        user_action_type1_ratio    0.000000
