,user_id,register_day,register_type,device_type
user_app_launch_register_mean_time,6.015678287615936
device_type_rate,5.960788049100151
user_activity_register_mean_time,5.16807191223628
user_action_type_num,4.298328488129824
user_activity_day_rate,3.8321987784875153
device_type_register,3.1716522881495965
user_app_launch_gap,2.923981342019022
user_video_create_register_mean_time,2.675106451955824
user_page_num,2.4783006249154123
user_video_create_rate,2.3525811951222457
register_type_device,2.2261481583588596
register_type_rate,1.9939594517811323
user_activity_gap,1.7961219720099946
user_video_create_gap,1.0752412808016392
user_video_create_day,0.6808646188227544
user_author_id_video_num,0.009536535312702123
feature importance of catboost for kuaishou-aup,2018-06-01_10-25
register_day_rate,22.316719519237633
user_app_launch_rate,13.957149659105367
user_activity_day_rate,10.164913317118891
user_video_id_num,7.4441560002991025
user_app_launch_register_mean_time,7.03446325981308
user_activity_rate,5.849956126993411
device_type_rate,5.704806078033656
user_activity_register_mean_time,4.711941921845854
user_activity_frequency,3.9324232847533196
user_author_id_num,3.6041561214942828
user_app_launch_gap,3.5993571633774466
user_activity_gap,2.189933559191881
register_type_rate,2.152029141766417
user_page_num,1.6364100972025328
user_action_type_num,1.3270928806180837
device_type_register,1.2413874864814152
register_type_device,0.9985084294946043
user_video_create_register_mean_time,0.8634563005990399
user_video_create_rate,0.7851693336162989
user_video_create_gap,0.3703135021760983
user_video_create_day,0.11565681678158604
user_author_id_video_num,0.0
feature importance of catboost for kuaishou-aup,2018-06-01_14-35
register_day_rate,22.476994382083543
user_app_launch_rate,16.11701428156843
user_activity_day_rate,12.807331228242452
user_activity_rate,7.889068597890042
user_app_launch_register_mean_time,5.533763697446262
user_activity_register_mean_time,5.369827760673541
device_type_rate,4.2694157855823285
user_video_id_num,4.128479360424639
register_type_rate,3.622537069663148
user_author_id_num,3.5941622209305804
user_app_launch_gap,3.4787268927421713
user_activity_frequency,2.871363778009004
user_video_create_register_mean_time,1.9138563336685324
user_page_num,1.7686585497499567
user_video_create_rate,1.4260973671948827
